# 类号 码点(hex) 码点(dec)
1169 U+F2BA1 994209
1170 U+F2BA2 994210
1171 U+F2BA3 994211
1172 U+F2BA4 994212
1173 U+F2BA5 994213
1174 U+F2BA6 994214
1175 U+F2BA7 994215
1176 U+F2BA8 994216
1177 U+F2BA9 994217
1178 U+F2BAA 994218
1179 U+F2BAB 994219
1180 U+F2BAC 994220
1181 U+F2BAD 994221
1182 U+F2BAE 994222
1183 U+F2BAF 994223
1184 U+F2BB0 994224
1185 U+F2BB1 994225
1186 U+F2BB2 994226
1187 U+F2BB3 994227
1188 U+F2BB4 994228
1189 U+F2BB5 994229
1190 U+F2BB6 994230
1191 U+F2BB7 994231
1192 U+F2BB8 994232
1193 U+F2BB9 994233
1194 U+F2BBA 994234
1195 U+F2BBB 994235
1196 U+F2BBC 994236
1197 U+F2BBD 994237
1198 U+F2BBE 994238
1199 U+F2BBF 994239
1200 U+F2BC0 994240
1201 U+F2BC1 994241
1202 U+F2BC2 994242
1203 U+F2BC3 994243
1204 U+F2BC4 994244
1205 U+F2BC5 994245
1206 U+F2BC6 994246
1207 U+F2BC7 994247
1208 U+F2BC8 994248
1209 U+F2BC9 994249
1210 U+F2BCA 994250
1211 U+F2BCB 994251
1212 U+F2BCC 994252
1213 U+F2BCD 994253
1214 U+F2BCE 994254
1215 U+F2BCF 994255
1216 U+F2BD0 994256
1217 U+F2BD1 994257
1218 U+F2BD2 994258
1219 U+F2BD3 994259
1220 U+F2BD4 994260
1221 U+F2BD5 994261
1222 U+F2BD6 994262
1223 U+F2BD7 994263
1224 U+F2BD8 994264
1225 U+F2BD9 994265
1226 U+F2BDA 994266
1227 U+F2BDB 994267
1228 U+F2BDC 994268
1229 U+F2BDD 994269
1230 U+F2BDE 994270
1231 U+F2BDF 994271
1232 U+F2BE0 994272
1233 U+F2BE1 994273
1234 U+F2BE2 994274
1235 U+F2BE3 994275
1236 U+F2BE4 994276
1237 U+F2BE5 994277
1238 U+F2BE6 994278
1239 U+F2BE7 994279
1240 U+F2BE8 994280
1241 U+F2BE9 994281
1242 U+F2BEA 994282
1243 U+F2BEB 994283
1244 U+F2BEC 994284
1245 U+F2BED 994285
1246 U+F2BEE 994286
1247 U+F2BEF 994287
1248 U+F2BF0 994288
1249 U+F2BF1 994289
1250 U+F2BF2 994290
1251 U+F2BF3 994291
1252 U+F2BF4 994292
1253 U+F2BF5 994293
1254 U+F2BF6 994294
1255 U+F2BF7 994295
1256 U+F2BF8 994296
1257 U+F2BF9 994297
1258 U+F2BFA 994298
1259 U+F2BFB 994299
1260 U+F2BFC 994300
1261 U+F2BFD 994301
1262 U+F2BFE 994302
1263 U+F2BFF 994303
1264 U+F2C00 994304
1265 U+F2C01 994305
1266 U+F2C02 994306
1267 U+F2C03 994307
1268 U+F2C04 994308
1269 U+F2C05 994309
1270 U+F2C06 994310
1271 U+F2C07 994311
1272 U+F2C08 994312
1273 U+F2C09 994313
1274 U+F2C0A 994314
1275 U+F2C0B 994315
1276 U+F2C0C 994316
1277 U+F2C0D 994317
1278 U+F2C0E 994318
1279 U+F2C0F 994319
1280 U+F2C10 994320
1281 U+F2C11 994321
1282 U+F2C12 994322
1283 U+F2C13 994323
1284 U+F2C14 994324
1285 U+F2C15 994325
1286 U+F2C16 994326
1287 U+F2C17 994327
1288 U+F2C18 994328
1289 U+F2C19 994329
1290 U+F2C1A 994330
1291 U+F2C1B 994331
1292 U+F2C1C 994332
1293 U+F2C1D 994333
1294 U+F2C1E 994334
1295 U+F2C1F 994335
1296 U+F2C20 994336
1297 U+F2C21 994337
1298 U+F2C22 994338
1299 U+F2C23 994339
1300 U+F2C24 994340
1301 U+F2C25 994341
1302 U+F2C26 994342
1303 U+F2C27 994343
1304 U+F2C28 994344
1305 U+F2C29 994345
1306 U+F2C2A 994346
1307 U+F2C2B 994347
1308 U+F2C2C 994348
1309 U+F2C2D 994349
1310 U+F2C2E 994350
1311 U+F2C2F 994351
1312 U+F2C30 994352
1313 U+F2C31 994353
1314 U+F2C32 994354
1315 U+F2C33 994355
1316 U+F2C34 994356
1317 U+F2C35 994357
1318 U+F2C36 994358
1319 U+F2C37 994359
1320 U+F2C38 994360
1321 U+F2C39 994361
1322 U+F2C3A 994362
1323 U+F2C3B 994363
1324 U+F2C3C 994364
1325 U+F2C3D 994365
1326 U+F2C3E 994366
1327 U+F2C3F 994367
1328 U+F2C40 994368
1329 U+F2C41 994369
1330 U+F2C42 994370
1331 U+F2C43 994371
1332 U+F2C44 994372
1333 U+F2C45 994373
1334 U+F2C46 994374
1335 U+F2C47 994375
1336 U+F2C48 994376
1337 U+F2C49 994377
1338 U+F2C4A 994378
1339 U+F2C4B 994379
1340 U+F2C4C 994380
1341 U+F2C4D 994381
1342 U+F2C4E 994382
1343 U+F2C4F 994383
1344 U+F2C50 994384
1345 U+F2C51 994385
1346 U+F2C52 994386
1347 U+F2C53 994387
1348 U+F2C54 994388
1349 U+F2C55 994389
1350 U+F2C56 994390
1351 U+F2C57 994391
1352 U+F2C58 994392
1353 U+F2C59 994393
1354 U+F2C5A 994394
1355 U+F2C5B 994395
1356 U+F2C5C 994396
1357 U+F2C5D 994397
1358 U+F2C5E 994398
1359 U+F2C5F 994399
1360 U+F2C60 994400
1361 U+F2C61 994401
1362 U+F2C62 994402
1363 U+F2C63 994403
1364 U+F2C64 994404
1365 U+F2C65 994405
1366 U+F2C66 994406
1367 U+F2C67 994407
1368 U+F2C68 994408
1369 U+F2C69 994409
1370 U+F2C6A 994410
1371 U+F2C6B 994411
1372 U+F2C6C 994412
1373 U+F2C6D 994413
1374 U+F2C6E 994414
1375 U+F2C6F 994415
1376 U+F2C70 994416
1377 U+F2C71 994417
1378 U+F2C72 994418
1379 U+F2C73 994419
1380 U+F2C74 994420
1381 U+F2C75 994421
1382 U+F2C76 994422
1383 U+F2C77 994423
1384 U+F2C78 994424
1385 U+F2C79 994425
1386 U+F2C7A 994426
1387 U+F2C7B 994427
1388 U+F2C7C 994428
1389 U+F2C7D 994429
1390 U+F2C7E 994430
1391 U+F2C7F 994431
1392 U+F2C80 994432
1393 U+F2C81 994433
1394 U+F2C82 994434
1395 U+F2C83 994435
1396 U+F2C84 994436
1397 U+F2C85 994437
1398 U+F2C86 994438
1399 U+F2C87 994439
1400 U+F2C88 994440
1401 U+F2C89 994441
1402 U+F2C8A 994442
1403 U+F2C8B 994443
1404 U+F2C8C 994444
1405 U+F2C8D 994445
1406 U+F2C8E 994446
1407 U+F2C8F 994447
1408 U+F2C90 994448
1409 U+F2C91 994449
1410 U+F2C92 994450
1411 U+F2C93 994451
1412 U+F2C94 994452
1413 U+F2C95 994453
1414 U+F2C96 994454
1415 U+F2C97 994455
1416 U+F2C98 994456
1417 U+F2C99 994457
1418 U+F2C9A 994458
1419 U+F2C9B 994459
1420 U+F2C9C 994460
1421 U+F2C9D 994461
1422 U+F2C9E 994462
1423 U+F2C9F 994463
1424 U+F2CA0 994464
1425 U+F2CA1 994465
1426 U+F2CA2 994466
1427 U+F2CA3 994467
1428 U+F2CA4 994468
1429 U+F2CA5 994469
1430 U+F2CA6 994470
1431 U+F2CA7 994471
1432 U+F2CA8 994472
1433 U+F2CA9 994473
1434 U+F2CAA 994474
1435 U+F2CAB 994475
1436 U+F2CAC 994476
1437 U+F2CAD 994477
1438 U+F2CAE 994478
1439 U+F2CAF 994479
1440 U+F2CB0 994480
1441 U+F2CB1 994481
1442 U+F2CB2 994482
1443 U+F2CB3 994483
1444 U+F2CB4 994484
1445 U+F2CB5 994485
1446 U+F2CB6 994486
1447 U+F2CB7 994487
1448 U+F2CB8 994488
1449 U+F2CB9 994489
1450 U+F2CBA 994490
1451 U+F2CBB 994491
1452 U+F2CBC 994492
1453 U+F2CBD 994493
1454 U+F2CBE 994494
1455 U+F2CBF 994495
1456 U+F2CC0 994496
1457 U+F2CC1 994497
1458 U+F2CC2 994498
1459 U+F2CC3 994499
1460 U+F2CC4 994500
1461 U+F2CC5 994501
1462 U+F2CC6 994502
1463 U+F2CC7 994503
1464 U+F2CC8 994504
1465 U+F2CC9 994505
1466 U+F2CCA 994506
1467 U+F2CCB 994507
1468 U+F2CCC 994508
1469 U+F2CCD 994509
1470 U+F2CCE 994510
1471 U+F2CCF 994511
1472 U+F2CD0 994512
1473 U+F2CD1 994513
1474 U+F2CD2 994514
1475 U+F2CD3 994515
1476 U+F2CD4 994516
1477 U+F2CD5 994517
1478 U+F2CD6 994518
1479 U+F2CD7 994519
1480 U+F2CD8 994520
1481 U+F2CD9 994521
1482 U+F2CDA 994522
1483 U+F2CDB 994523
1484 U+F2CDC 994524
1485 U+F2CDD 994525
1486 U+F2CDE 994526
1487 U+F2CDF 994527
1488 U+F2CE0 994528
1489 U+F2CE1 994529
1490 U+F2CE2 994530
1491 U+F2CE3 994531
1492 U+F2CE4 994532
1493 U+F2CE5 994533
1494 U+F2CE6 994534
1495 U+F2CE7 994535
1496 U+F2CE8 994536
1497 U+F2CE9 994537
1498 U+F2CEA 994538
1499 U+F2CEB 994539
1500 U+F2CEC 994540
1501 U+F2CED 994541
1502 U+F2CEE 994542
1503 U+F2CEF 994543
1504 U+F2CF0 994544
1505 U+F2CF1 994545
1506 U+F2CF2 994546
1507 U+F2CF3 994547
1508 U+F2CF4 994548
1509 U+F2CF5 994549
1510 U+F2CF6 994550
1511 U+F2CF7 994551
1512 U+F2CF8 994552
1513 U+F2CF9 994553
1514 U+F2CFA 994554
1515 U+F2CFB 994555
1516 U+F2CFC 994556
1517 U+F2CFD 994557
1518 U+F2CFE 994558
1519 U+F2CFF 994559
1520 U+F2D00 994560
1521 U+F2D01 994561
1522 U+F2D02 994562
1523 U+F2D03 994563
1524 U+F2D04 994564
1525 U+F2D05 994565
1526 U+F2D06 994566
1527 U+F2D07 994567
1528 U+F2D08 994568
1529 U+F2D09 994569
1530 U+F2D0A 994570
1531 U+F2D0B 994571
1532 U+F2D0C 994572
1533 U+F2D0D 994573
1534 U+F2D0E 994574
1535 U+F2D0F 994575
1536 U+F2D10 994576
1537 U+F2D11 994577
1538 U+F2D12 994578
1539 U+F2D13 994579
1540 U+F2D14 994580
1541 U+F2D15 994581
1542 U+F2D16 994582
1543 U+F2D17 994583
1544 U+F2D18 994584
1545 U+F2D19 994585
1546 U+F2D1A 994586
1547 U+F2D1B 994587
1548 U+F2D1C 994588
1549 U+F2D1D 994589
1550 U+F2D1E 994590
1551 U+F2D1F 994591
1552 U+F2D20 994592
1553 U+F2D21 994593
1554 U+F2D22 994594
1555 U+F2D23 994595
1556 U+F2D24 994596
1557 U+F2D25 994597
1558 U+F2D26 994598
1559 U+F2D27 994599
1560 U+F2D28 994600
1561 U+F2D29 994601
1562 U+F2D2A 994602
1563 U+F2D2B 994603
1564 U+F2D2C 994604
1565 U+F2D2D 994605
1566 U+F2D2E 994606
1567 U+F2D2F 994607
1568 U+F2D30 994608
1569 U+F2D31 994609
1570 U+F2D32 994610
1571 U+F2D33 994611
1572 U+F2D34 994612
1573 U+F2D35 994613
1574 U+F2D36 994614
1575 U+F2D37 994615
1576 U+F2D38 994616
1577 U+F2D39 994617
1578 U+F2D3A 994618
1579 U+F2D3B 994619
1580 U+F2D3C 994620
1581 U+F2D3D 994621
1582 U+F2D3E 994622
1583 U+F2D3F 994623
1584 U+F2D40 994624
1585 U+F2D41 994625
1586 U+F2D42 994626
1587 U+F2D43 994627
1588 U+F2D44 994628
1589 U+F2D45 994629
1590 U+F2D46 994630
1591 U+F2D47 994631
1592 U+F2D48 994632
1593 U+F2D49 994633
1594 U+F2D4A 994634
1595 U+F2D4B 994635
1596 U+F2D4C 994636
1597 U+F2D4D 994637
1598 U+F2D4E 994638
1599 U+F2D4F 994639
1600 U+F2D50 994640
1601 U+F2D51 994641
1602 U+F2D52 994642
1603 U+F2D53 994643
1604 U+F2D54 994644
1605 U+F2D55 994645
1606 U+F2D56 994646
1607 U+F2D57 994647
1608 U+F2D58 994648
1609 U+F2D59 994649
1610 U+F2D5A 994650
1611 U+F2D5B 994651
1612 U+F2D5C 994652
1613 U+F2D5D 994653
1614 U+F2D5E 994654
1615 U+F2D5F 994655
1616 U+F2D60 994656
1617 U+F2D61 994657
1618 U+F2D62 994658
1619 U+F2D63 994659
1620 U+F2D64 994660
1621 U+F2D65 994661
1622 U+F2D66 994662
1623 U+F2D67 994663
1624 U+F2D68 994664
1625 U+F2D69 994665
1626 U+F2D6A 994666
1627 U+F2D6B 994667
1628 U+F2D6C 994668
1629 U+F2D6D 994669
1630 U+F2D6E 994670
1631 U+F2D6F 994671
1632 U+F2D70 994672
1633 U+F2D71 994673
1634 U+F2D72 994674
1635 U+F2D73 994675
1636 U+F2D74 994676
1637 U+F2D75 994677
1638 U+F2D76 994678
1639 U+F2D77 994679
1640 U+F2D78 994680
1641 U+F2D79 994681
1642 U+F2D7A 994682
1643 U+F2D7B 994683
1644 U+F2D7C 994684
1645 U+F2D7D 994685
1646 U+F2D7E 994686
1647 U+F2D7F 994687
1648 U+F2D80 994688
1649 U+F2D81 994689
1650 U+F2D82 994690
1651 U+F2D83 994691
1652 U+F2D84 994692
1653 U+F2D85 994693
1654 U+F2D86 994694
1655 U+F2D87 994695
1656 U+F2D88 994696
1657 U+F2D89 994697
1658 U+F2D8A 994698
1659 U+F2D8B 994699
1660 U+F2D8C 994700
1661 U+F2D8D 994701
1662 U+F2D8E 994702
1663 U+F2D8F 994703
1664 U+F2D90 994704
1665 U+F2D91 994705
1666 U+F2D92 994706
1667 U+F2D93 994707
1668 U+F2D94 994708
1669 U+F2D95 994709
1670 U+F2D96 994710
1671 U+F2D97 994711
1672 U+F2D98 994712
1673 U+F2D99 994713
1674 U+F2D9A 994714
1675 U+F2D9B 994715
1676 U+F2D9C 994716
1677 U+F2D9D 994717
1678 U+F2D9E 994718
1679 U+F2D9F 994719
1680 U+F2DA0 994720
1681 U+F2DA1 994721
1682 U+F2DA2 994722
1683 U+F2DA3 994723
1684 U+F2DA4 994724
1685 U+F2DA5 994725
1686 U+F2DA6 994726
1687 U+F2DA7 994727
1688 U+F2DA8 994728
1689 U+F2DA9 994729
1690 U+F2DAA 994730
1691 U+F2DAB 994731
1692 U+F2DAC 994732
1693 U+F2DAD 994733
1694 U+F2DAE 994734
1695 U+F2DAF 994735
1696 U+F2DB0 994736
1697 U+F2DB1 994737
1698 U+F2DB2 994738
1699 U+F2DB3 994739
1700 U+F2DB4 994740
1701 U+F2DB5 994741
1702 U+F2DB6 994742
1703 U+F2DB7 994743
1704 U+F2DB8 994744
1705 U+F2DB9 994745
1706 U+F2DBA 994746
1707 U+F2DBB 994747
1708 U+F2DBC 994748
1709 U+F2DBD 994749
1710 U+F2DBE 994750
1711 U+F2DBF 994751
1712 U+F2DC0 994752
1713 U+F2DC1 994753
1714 U+F2DC2 994754
1715 U+F2DC3 994755
1716 U+F2DC4 994756
1717 U+F2DC5 994757
1718 U+F2DC6 994758
1719 U+F2DC7 994759
1720 U+F2DC8 994760
1721 U+F2DC9 994761
1722 U+F2DCA 994762
1723 U+F2DCB 994763
1724 U+F2DCC 994764
1725 U+F2DCD 994765
1726 U+F2DCE 994766
1727 U+F2DCF 994767
1728 U+F2DD0 994768
1729 U+F2DD1 994769
1730 U+F2DD2 994770
1731 U+F2DD3 994771
1732 U+F2DD4 994772
1733 U+F2DD5 994773
1734 U+F2DD6 994774
1735 U+F2DD7 994775
1736 U+F2DD8 994776
1737 U+F2DD9 994777
1738 U+F2DDA 994778
1739 U+F2DDB 994779
1740 U+F2DDC 994780
1741 U+F2DDD 994781
1742 U+F2DDE 994782
1743 U+F2DDF 994783
1744 U+F2DE0 994784
1745 U+F2DE1 994785
1746 U+F2DE2 994786
1747 U+F2DE3 994787
1748 U+F2DE4 994788
1749 U+F2DE5 994789
1750 U+F2DE6 994790
1751 U+F2DE7 994791
1752 U+F2DE8 994792
1753 U+F2DE9 994793
1754 U+F2DEA 994794
1755 U+F2DEB 994795
1756 U+F2DEC 994796
1757 U+F2DED 994797
1758 U+F2DEE 994798
1759 U+F2DEF 994799
1760 U+F2DF0 994800
1761 U+F2DF1 994801
1762 U+F2DF2 994802
1763 U+F2DF3 994803
1764 U+F2DF4 994804
1765 U+F2DF5 994805
1766 U+F2DF6 994806
1767 U+F2DF7 994807
1768 U+F2DF8 994808
1769 U+F2DF9 994809
1770 U+F2DFA 994810
1771 U+F2DFB 994811
1772 U+F2DFC 994812
1773 U+F2DFD 994813
1774 U+F2DFE 994814
1775 U+F2DFF 994815
1776 U+F2E00 994816
1777 U+F2E01 994817
1778 U+F2E02 994818
1779 U+F2E03 994819
1780 U+F2E04 994820
1781 U+F2E05 994821
1782 U+F2E06 994822
1783 U+F2E07 994823
1784 U+F2E08 994824
1785 U+F2E09 994825
1786 U+F2E0A 994826
1787 U+F2E0B 994827
1788 U+F2E0C 994828
1789 U+F2E0D 994829
1790 U+F2E0E 994830
1791 U+F2E0F 994831
1792 U+F2E10 994832
1793 U+F2E11 994833
1794 U+F2E12 994834
1795 U+F2E13 994835
1796 U+F2E14 994836
1797 U+F2E15 994837
1798 U+F2E16 994838
1799 U+F2E17 994839
1800 U+F2E18 994840
1801 U+F2E19 994841
1802 U+F2E1A 994842
1803 U+F2E1B 994843
1804 U+F2E1C 994844
1805 U+F2E1D 994845
1806 U+F2E1E 994846
1807 U+F2E1F 994847
1808 U+F2E20 994848
1809 U+F2E21 994849
1810 U+F2E22 994850
1811 U+F2E23 994851
1812 U+F2E24 994852
1813 U+F2E25 994853
1814 U+F2E26 994854
1815 U+F2E27 994855
1816 U+F2E28 994856
1817 U+F2E29 994857
1818 U+F2E2A 994858
1819 U+F2E2B 994859
1820 U+F2E2C 994860
1821 U+F2E2D 994861
1822 U+F2E2E 994862
1823 U+F2E2F 994863
1824 U+F2E30 994864
1825 U+F2E31 994865
1826 U+F2E32 994866
1827 U+F2E33 994867
1828 U+F2E34 994868
1829 U+F2E35 994869
1830 U+F2E36 994870
1831 U+F2E37 994871
1832 U+F2E38 994872
1833 U+F2E39 994873
1834 U+F2E3A 994874
1835 U+F2E3B 994875
1836 U+F2E3C 994876
1837 U+F2E3D 994877
1838 U+F2E3E 994878
1839 U+F2E3F 994879
1840 U+F2E40 994880
1841 U+F2E41 994881
1842 U+F2E42 994882
1843 U+F2E43 994883
1844 U+F2E44 994884
1845 U+F2E45 994885
1846 U+F2E46 994886
1847 U+F2E47 994887
1848 U+F2E48 994888
1849 U+F2E49 994889
1850 U+F2E4A 994890
1851 U+F2E4B 994891
1852 U+F2E4C 994892
1853 U+F2E4D 994893
1854 U+F2E4E 994894
1855 U+F2E4F 994895
1856 U+F2E50 994896
1857 U+F2E51 994897
1858 U+F2E52 994898
1859 U+F2E53 994899
1860 U+F2E54 994900
1861 U+F2E55 994901
1862 U+F2E56 994902
1863 U+F2E57 994903
1864 U+F2E58 994904
1865 U+F2E59 994905
1866 U+F2E5A 994906
1867 U+F2E5B 994907
1868 U+F2E5C 994908
1869 U+F2E5D 994909
1870 U+F2E5E 994910
1871 U+F2E5F 994911
1872 U+F2E60 994912
1873 U+F2E61 994913
1874 U+F2E62 994914
1875 U+F2E63 994915
1876 U+F2E64 994916
1877 U+F2E65 994917
1878 U+F2E66 994918
1879 U+F2E67 994919
1880 U+F2E68 994920
1881 U+F2E69 994921
1882 U+F2E6A 994922
1883 U+F2E6B 994923
1884 U+F2E6C 994924
1885 U+F2E6D 994925
1886 U+F2E6E 994926
1887 U+F2E6F 994927
1888 U+F2E70 994928
1889 U+F2E71 994929
1890 U+F2E72 994930
1891 U+F2E73 994931
1892 U+F2E74 994932
1893 U+F2E75 994933
1894 U+F2E76 994934
1895 U+F2E77 994935
1896 U+F2E78 994936
1897 U+F2E79 994937
1898 U+F2E7A 994938
1899 U+F2E7B 994939
1900 U+F2E7C 994940
1901 U+F2E7D 994941
1902 U+F2E7E 994942
1903 U+F2E7F 994943
1904 U+F2E80 994944
1905 U+F2E81 994945
1906 U+F2E82 994946
1907 U+F2E83 994947
1908 U+F2E84 994948
1909 U+F2E85 994949
1910 U+F2E86 994950
1911 U+F2E87 994951
1912 U+F2E88 994952
1913 U+F2E89 994953
1914 U+F2E8A 994954
1915 U+F2E8B 994955
1916 U+F2E8C 994956
1917 U+F2E8D 994957
1918 U+F2E8E 994958
1919 U+F2E8F 994959
1920 U+F2E90 994960
1921 U+F2E91 994961
1922 U+F2E92 994962
1923 U+F2E93 994963
1924 U+F2E94 994964
1925 U+F2E95 994965
1926 U+F2E96 994966
1927 U+F2E97 994967
1928 U+F2E98 994968
1929 U+F2E99 994969
1930 U+F2E9A 994970
1931 U+F2E9B 994971
1932 U+F2E9C 994972
1933 U+F2E9D 994973
1934 U+F2E9E 994974
1935 U+F2E9F 994975
1936 U+F2EA0 994976
1937 U+F2EA1 994977
1938 U+F2EA2 994978
1939 U+F2EA3 994979
1940 U+F2EA4 994980
1941 U+F2EA5 994981
1942 U+F2EA6 994982
1943 U+F2EA7 994983
1944 U+F2EA8 994984
1945 U+F2EA9 994985
1946 U+F2EAA 994986
1947 U+F2EAB 994987
1948 U+F2EAC 994988
1949 U+F2EAD 994989
1950 U+F2EAE 994990
1951 U+F2EAF 994991
1952 U+F2EB0 994992
1953 U+F2EB1 994993
1954 U+F2EB2 994994
1955 U+F2EB3 994995
1956 U+F2EB4 994996
1957 U+F2EB5 994997
1958 U+F2EB6 994998
1959 U+F2EB7 994999
1960 U+F2EB8 995000
1961 U+F2EB9 995001
1962 U+F2EBA 995002
1963 U+F2EBB 995003
1964 U+F2EBC 995004
1965 U+F2EBD 995005
1966 U+F2EBE 995006
1967 U+F2EBF 995007
1968 U+F2EC0 995008
1969 U+F2EC1 995009
1970 U+F2EC2 995010
1971 U+F2EC3 995011
1972 U+F2EC4 995012
1973 U+F2EC5 995013
1974 U+F2EC6 995014
1975 U+F2EC7 995015
1976 U+F2EC8 995016
1977 U+F2EC9 995017
1978 U+F2ECA 995018
1979 U+F2ECB 995019
1980 U+F2ECC 995020
1981 U+F2ECD 995021
1982 U+F2ECE 995022
1983 U+F2ECF 995023
1984 U+F2ED0 995024
1985 U+F2ED1 995025
1986 U+F2ED2 995026
1987 U+F2ED3 995027
1988 U+F2ED4 995028
1989 U+F2ED5 995029
1990 U+F2ED6 995030
1991 U+F2ED7 995031
1992 U+F2ED8 995032
1993 U+F2ED9 995033
1994 U+F2EDA 995034
1995 U+F2EDB 995035
1996 U+F2EDC 995036
1997 U+F2EDD 995037
1998 U+F2EDE 995038
1999 U+F2EDF 995039
2000 U+F2EE0 995040
2001 U+F2EE1 995041
2002 U+F2EE2 995042
2003 U+F2EE3 995043
2004 U+F2EE4 995044
2005 U+F2EE5 995045
2006 U+F2EE6 995046
2007 U+F2EE7 995047
2008 U+F2EE8 995048
2009 U+F2EE9 995049
2010 U+F2EEA 995050
2011 U+F2EEB 995051
2012 U+F2EEC 995052
2013 U+F2EED 995053
2014 U+F2EEE 995054
2015 U+F2EEF 995055
2016 U+F2EF0 995056
2017 U+F2EF1 995057
2018 U+F2EF2 995058
2019 U+F2EF3 995059
2020 U+F2EF4 995060
2021 U+F2EF5 995061
2022 U+F2EF6 995062
2023 U+F2EF7 995063
2024 U+F2EF8 995064
2025 U+F2EF9 995065
2026 U+F2EFA 995066
2027 U+F2EFB 995067
2028 U+F2EFC 995068
2029 U+F2EFD 995069
2030 U+F2EFE 995070
2031 U+F2EFF 995071
2032 U+F2F00 995072
2033 U+F2F01 995073
2034 U+F2F02 995074
2035 U+F2F03 995075
2036 U+F2F04 995076
2037 U+F2F05 995077
2038 U+F2F06 995078
2039 U+F2F07 995079
2040 U+F2F08 995080
2041 U+F2F09 995081
2042 U+F2F0A 995082
2043 U+F2F0B 995083
2044 U+F2F0C 995084
2045 U+F2F0D 995085
2046 U+F2F0E 995086
2047 U+F2F0F 995087
2048 U+F2F10 995088
2049 U+F2F11 995089
2050 U+F2F12 995090
2051 U+F2F13 995091
2052 U+F2F14 995092
2053 U+F2F15 995093
2054 U+F2F16 995094
2055 U+F2F17 995095
2056 U+F2F18 995096
2057 U+F2F19 995097
2058 U+F2F1A 995098
2059 U+F2F1B 995099
2060 U+F2F1C 995100
2061 U+F2F1D 995101
2062 U+F2F1E 995102
2063 U+F2F1F 995103
2064 U+F2F20 995104
2065 U+F2F21 995105
2066 U+F2F22 995106
2067 U+F2F23 995107
2068 U+F2F24 995108
2069 U+F2F25 995109
2070 U+F2F26 995110
2071 U+F2F27 995111
2072 U+F2F28 995112
2073 U+F2F29 995113
2074 U+F2F2A 995114
2075 U+F2F2B 995115
2076 U+F2F2C 995116
2077 U+F2F2D 995117
2078 U+F2F2E 995118
2079 U+F2F2F 995119
2080 U+F2F30 995120
2081 U+F2F31 995121
2082 U+F2F32 995122
2083 U+F2F33 995123
2084 U+F2F34 995124
2085 U+F2F35 995125
2086 U+F2F36 995126
2087 U+F2F37 995127
2088 U+F2F38 995128
2089 U+F2F39 995129
2090 U+F2F3A 995130
2091 U+F2F3B 995131
2092 U+F2F3C 995132
2093 U+F2F3D 995133
2094 U+F2F3E 995134
2095 U+F2F3F 995135
2096 U+F2F40 995136
2097 U+F2F41 995137
2098 U+F2F42 995138
2099 U+F2F43 995139
2100 U+F2F44 995140
2101 U+F2F45 995141
2102 U+F2F46 995142
2103 U+F2F47 995143
2104 U+F2F48 995144
2105 U+F2F49 995145
2106 U+F2F4A 995146
2107 U+F2F4B 995147
2108 U+F2F4C 995148
2109 U+F2F4D 995149
2110 U+F2F4E 995150
2111 U+F2F4F 995151
2112 U+F2F50 995152
2113 U+F2F51 995153
2114 U+F2F52 995154
2115 U+F2F53 995155
2116 U+F2F54 995156
2117 U+F2F55 995157
2118 U+F2F56 995158
2119 U+F2F57 995159
2120 U+F2F58 995160
2121 U+F2F59 995161
2122 U+F2F5A 995162
2123 U+F2F5B 995163
2124 U+F2F5C 995164
2125 U+F2F5D 995165
2126 U+F2F5E 995166
2127 U+F2F5F 995167
2128 U+F2F60 995168
2129 U+F2F61 995169
2130 U+F2F62 995170
2131 U+F2F63 995171
2132 U+F2F64 995172
2133 U+F2F65 995173
2134 U+F2F66 995174
2135 U+F2F67 995175
2136 U+F2F68 995176
2137 U+F2F69 995177
2138 U+F2F6A 995178
2139 U+F2F6B 995179
2140 U+F2F6C 995180
2141 U+F2F6D 995181
2142 U+F2F6E 995182
2143 U+F2F6F 995183
2144 U+F2F70 995184
2145 U+F2F71 995185
2146 U+F2F72 995186
2147 U+F2F73 995187
2148 U+F2F74 995188
2149 U+F2F75 995189
2150 U+F2F76 995190
2151 U+F2F77 995191
2152 U+F2F78 995192
2153 U+F2F79 995193
2154 U+F2F7A 995194
2155 U+F2F7B 995195
2156 U+F2F7C 995196
2157 U+F2F7D 995197
2158 U+F2F7E 995198
2159 U+F2F7F 995199
2160 U+F2F80 995200
2161 U+F2F81 995201
2162 U+F2F82 995202
2163 U+F2F83 995203
2164 U+F2F84 995204
2165 U+F2F85 995205
2166 U+F2F86 995206
2167 U+F2F87 995207
2168 U+F2F88 995208
2169 U+F2F89 995209
2170 U+F2F8A 995210
2171 U+F2F8B 995211
2172 U+F2F8C 995212
2173 U+F2F8D 995213
2174 U+F2F8E 995214
2175 U+F2F8F 995215
2176 U+F2F90 995216
2177 U+F2F91 995217
2178 U+F2F92 995218
2179 U+F2F93 995219
2180 U+F2F94 995220
2181 U+F2F95 995221
2182 U+F2F96 995222
2183 U+F2F97 995223
2184 U+F2F98 995224
2185 U+F2F99 995225
2186 U+F2F9A 995226
2187 U+F2F9B 995227
2188 U+F2F9C 995228
2189 U+F2F9D 995229
2190 U+F2F9E 995230
2191 U+F2F9F 995231
2192 U+F2FA0 995232
2193 U+F2FA1 995233
2194 U+F2FA2 995234
2195 U+F2FA3 995235
