序号,彝文,中文,英文
1110,󲭥,（炒面）（名词）,"(炒face, surface)  (名词)"
1111,󲭦,枯萎,枯萎
1112,󲭧,（瘿袋）（大脖子）,"(瘿袋)  (big, large脖子)"
1113,󲭨,（踩水）（游泳的一种动作）,(踩水)  (游泳的one种动作)
1114,󲭩,（口袋）,（口袋）
1115,󲭪,（初）一,(初) one
1116,󲭫,听,听
1117,󲭬,（挑箩）,（挑箩）
1118,󲭭,1、啃；2、咬（使动）；,1. 啃; 2. 咬(使动) ; 
1119,󲭮,（砚台）,（砚台）
1120,󲭯,（语气词）啊,(语气词) 啊
1121,󲭰,盖,盖
1122,󲭱,严重、惨重,"严重, 惨重"
1123,󲭲,钩,钩
1124,󲭳,1、驯服；2、（田）埂；,1. 驯服; 2. (田) 埂; 
1125,󲭴,1、幅（量词）；2、匹（布的量词）；,1. 幅(量词) ; 2. 匹(布的量词) ; 
1126,󲭵,1、（说）明；2、（过分）；,1. (说) 明; 2. (过分) ; 
1127,󲭶,（送）脱,"(送) shed, fall off"
1128,󲭷,（你、我、他）家,"(你, 我, 他) 家"
1129,󲭸,富裕,富裕
1130,󲭹,（母羊）舔（崽）,(母羊) lick (崽)
1131,󲭺,甩,甩
1132,󲭻,（强调）,（强调）
1133,󲭼,1、双、对（量词）2、双（数）、偶（数）,"1, 双, 对(量词) 2, 双(数) , 偶 (数)"
1134,󲭽,（形容词缀）（亮晶晶）,(形容词缀)  (亮晶晶)
1135,󲭾,（马铜铃）,（horse铜铃）
1136,󲭿,踏（脚）,踏 (脚)
1137,󲮀,（拐杖）,（拐杖）
1138,󲮁,（埋怨）,"（complain, blame）"
1139,󲮂,（芋头）,（芋头）
1140,󲮃,1、印记；2、线索、迹象；,"1. 印记; 2. thread, line索, 迹象; "
1141,󲮄,（形容词缀）（静悄悄）,(形容词缀)  (静悄悄)
1142,󲮅,1、丢；2、投掷；,1. 丢; 2. 投掷; 
1143,󲮆,闪（动）,闪 (动)
1144,󲮇,（八角）,（star anise）
1145,󲮈,延缓时间；缓（期）,延缓时间; 缓 (期)
1146,󲮉,（斗笠）,（斗笠）
1147,󲮊,团（量词）,团 (量词)
1148,󲮋,迟,迟
1149,󲮌,山羊,山羊
1150,󲮍,晌午（饭）,晌午 (饭)
1151,󲮎,错,错
1152,󲮏,（燕麦）,（燕麦）
1153,󲮐,（果断）,"（decisive, resolute）"
1154,󲮑,砸,砸
1155,󲮒,（宝剑）,（precious sword）
1156,󲮓,蚁,蚁
1157,󲮔,关（心）,"关 (heart, mind)"
1158,󲮕,细（用来粉末状的物体等）,"细 (用来powderpowder, end状的object, thing体等)"
1159,󲮖,槽,槽
1160,󲮗,到,到
1161,󲮘,（砂锅）,（砂锅）
1162,󲮙,1、鸡；2、酉（地支）；3、（地名用词）；4、（芫荽）；,"1. 鸡; 2. 酉(place, location支) ; 3, (place name用词) ; 4, (芫荽) ; "
1163,󲮚,1、（无兴趣）；2、（无力气）；,1. (无兴趣) ; 2. (无力气) ; 
1164,󲮛,（马、羊）叫,"(horse, 羊) 叫"
1165,󲮜,急（食）,急 (食)
1166,󲮝,1、保护；2、担保；,1. 保护; 2. shoulder pole保; 
1167,󲮞,价值、价格,"价值, 价格"
1168,󲮟,卷（衣袖、裤脚等）,"curl, roll (衣袖, 裤脚等)"
1169,󲮠,（碓）担,(碓) shoulder pole
1170,󲮡,豁（出）,豁 (出)
1171,󲮢,破、损,"破, 损"
1172,󲮣,（苗族）,（苗族）
1173,󲮤,不（否定副词）,不 (否定副词)
1174,󲮥,1、（毛茸茸）；2、（面容憔悴）；,"1. (hair, wool茸茸) ; 2. (face, surface容憔悴) ; "
1175,󲮦,堵塞（洞口）,堵塞 (洞口)
1176,󲮧,（后缀词）（红红的）,(后缀词)  (红红的)
1177,󲮨,1、边缘；2、棱角；,"1. edge, side缘; 2. 棱角; "
1178,󲮩,椒类,椒class
1179,󲮪,取（下）,"取 (descend, go down)"
1180,󲮫,（语音）清脆,"(语音) 清crisp, brittle"
1181,󲮬,估计、估量；,"估计, 估量; "
1182,󲮭,（眼睛盯着看）,（eye睛盯着看）
1183,󲮮,（一下、一会儿）,"（onedescend, go down, one会儿）"
1184,󲮯,砣（量词）,砣 (量词)
1185,󲮰,赊（账）,赊 (账)
1186,󲮱,（袜子）,（袜子）
1187,󲮲,顽皮、俏皮；,"顽皮, 俏皮; "
1188,󲮳,肯,肯
1189,󲮴,（清明）,（清明）
1190,󲮵,光、赤；,"light, 赤; "
1191,󲮶,顶替,"top, support替"
1192,󲮷,（使）动,(使) 动
1193,󲮸,（死板、不灵活）,"（死板, 不灵活）"
1194,󲮹,1、安慰；2、诓；,1. 安慰; 2. 诓; 
1195,󲮺,扁（形）,扁 (形)
1196,󲮻,哄,哄
1197,󲮼,1、牵、延申；2、（发展、昌盛）,"1. 牵, 延申; 2.  (发展, 昌盛)"
1198,󲮽,撒（播）,撒 (播)
1199,󲮾,撕,撕
1200,󲮿,1、汗渍；2、污垢；,1. 汗渍; 2. 污垢; 
1201,󲯀,样,样
1202,󲯁,（渺小、细微）,"（渺小, 细微）"
1203,󲯂,康复,康复
1204,󲯃,笙,笙
1205,󲯄,毡子,毡子
1206,󲯅,（啊呀）表示叹息,(啊呀) 表示叹息
1207,󲯆,（半夏）,（半夏）
1208,󲯇,1、筐、箩、笼；2、（量词）；,"1. 筐, 箩, 笼; 2. (量词) ; "
1209,󲯈,羡慕,羡慕
1210,󲯉,（额头）,（forehead）
1211,󲯊,华（美）,华 (美)
1212,󲯋,纠缠,纠缠
1213,󲯌,间（天地之间）,"间 (sky, heavenplace, location之间)"
1214,󲯍,（盐）咸,(盐) 咸
1215,󲯎,积、攒（钱）,"积, 攒 (钱)"
1216,󲯏,（牲畜）刨（地）,"(livestock) 刨 (place, location)"
1217,󲯐,（冻菌）,（冻菌）
1218,󲯑,虎（别称）,虎 (别称)
1219,󲯒,（心）慌,"(heart, mind) 慌"
1220,󲯓,花（斑纹）,花 (斑纹)
1221,󲯔,（象声词）,（onomatopoeia）
1222,󲯕,盖（屋顶）,"盖 (屋top, support)"
1223,󲯖,出力、奉献,"出力, 奉献"
1224,󲯗,（名声、身份、地位）,"（名声, 身份, place, location位）"
1225,󲯘,（打）破,(打) 破
1226,󲯙,（习惯）,（习惯）
1227,󲯚,（囤箩）,（囤箩）
1228,󲯛,设（宴）,设 (宴)
1229,󲯜,（乱）撕，扯；,"(乱) 撕, 扯; "
1230,󲯝,草；（稻草、泛指草类）,"grass;  (稻grass, 泛point, indicategrassclass)"
1231,󲯞,苦（味道）,苦 (味道)
1232,󲯟,馋,馋
1233,󲯠,（叹息声（表示不如意））,(叹息声 (表示不如意) )
1234,󲯡,挜（硬把东西送给或者卖个别人）,"挜 (硬把东西送给或者卖个别person, people)"
1235,󲯢,1、盘、馆；2、（量词）；,"1. 盘, 馆; 2. (量词) ; "
1236,󲯣,（（籽粒）饱满、壮实）,"( (籽粒) 饱满, 壮实)"
1237,󲯤,（便宜）,"（cheap, inexpensive）"
1238,󲯥,1、（猪）叫；2、（象声词）；,1. (猪) 叫; 2. (onomatopoeia) ; 
1239,󲯦,走样,走样
1240,󲯧,凝结、凝固,"凝结, 凝固"
1241,󲯨,（砍柴刀）,（砍柴刀）
1242,󲯩,1、惊（醒）；2、易受惊；3、（很有精神）；,"1. startle, shock(醒) ; 2. 易受startle, shock; 3, (很有精神) ; "
1243,󲯪,软弱,软弱
1244,󲯫,（（象声词）枪炮声）,( (onomatopoeia) 枪炮声)
1245,󲯬,（杜鹃）,（杜鹃）
1246,󲯭,（瞌睡）,（瞌睡）
1247,󲯮,（稀巴烂）,（稀巴烂）
1248,󲯯,（筲箕）,（筲箕）
1249,󲯰,1、迁、启；2、取；,"1. 迁, 启; 2. 取; "
1250,󲯱,碎,碎
1251,󲯲,（（厦子）小屋檐）,( (厦子) 小屋檐)
1252,󲯳,填,填
1253,󲯴,（姑父）,（姑父）
1254,󲯵,（以）后,(以) 后
1255,󲯶,（凡是）,（凡是）
1256,󲯷,欠（债）,欠 (债)
1257,󲯸,免疫,免疫
1258,󲯹,（饭（儿语））,(饭 (儿语) )
1259,󲯺,掏（沟、水井等）,"掏 (沟, 水井等)"
1260,󲯻,恨、讨厌,"hate, resent, 讨厌"
1261,󲯼,1、知道；2、（知识）；,1. 知道; 2. (知识) ; 
1262,󲯽,捧,捧
1263,󲯾,垫,垫
1264,󲯿,1、喝；2、吸；,1. 喝; 2. 吸; 
1265,󲰀,獐（子）,獐 (子)
1266,󲰁,偷盗,偷盗
1267,󲰂,正在,正在
1268,󲰃,（草鞋）,（grass鞋）
1269,󲰄,（你、我、他）们,"(你, 我, 他) 们"
1270,󲰅,（显然）,（显然）
1271,󲰆,1、薄；2、稀疏；,1. 薄; 2. 稀疏; 
1272,󲰇,网,网
1273,󲰈,沤,沤
1274,󲰉,（告状）,（告状）
1275,󲰊,盛（世）,盛 (世)
1276,󲰋,甩打,甩打
1277,󲰌,想、欲,"想, 欲"
1278,󲰍,1、（天）地；2、（世上凡间）；,"1. (sky, heaven) place, location; 2. (世上凡间) ; "
1279,󲰎,（可惜）,（可惜）
1280,󲰏,得（助词）,得 (助词)
1281,󲰐,（（重叠词缀）（毛发）蓬松）,"( (overlapping词缀) （hair, wool发)蓬松）"
1282,󲰑,害（命）,害 (命)
1283,󲰒,蟒,蟒
1284,󲰓,排行第四,排行第four
1285,󲰔,1、合缝；2、合拢；,"1. 合sew, stitch; 2. 合拢; "
1286,󲰕,烤（火，一般指取暖）；,"烤(fire, one般point, indicate取暖) ; "
1287,󲰖,（牛枷担（农具））,"(cow, ox枷shoulder pole (农具) )"
1288,󲰗,（竹簾子（晒萝卜丝用））,"(竹簾子 (dry in sun, expose萝卜丝用) )"
1289,󲰘,1、绸缎；2、衣（古语）；,1. 绸缎; 2. 衣(ancient saying) ; 
1290,󲰙,挑（使动）,挑 (使动)
1291,󲰚,1、婚姻；2、许配；,1. 婚姻; 2. 许配; 
1292,󲰛,架、台（量词）,"架, 台 (量词)"
1293,󲰜,（（形容词缀）（黑黝黝）,( (形容词缀) （黑黝黝)
1294,󲰝,1、伤（说话伤人）；2、亏；,"1. 伤(说话伤person, people) ; 2. 亏; "
1295,󲰞,1、（纸）；2、（书刊、报纸）；,"1. (纸) ; 2. (书刊, 报纸) ; "
1296,󲰟,桩,桩
1297,󲰠,（事）因,(事) 因
1298,󲰡,（依靠（瞧得起））,"(依lean, depend on (瞧得rise, get up) )"
1299,󲰢,1、施（底肥）；2、（名词用字）；,1. 施(底肥) ; 2. (名词用字) ; 
1300,󲰣,连累、牵连,"连累, 牵连"
1301,󲰤,（烟）熏,(烟) 熏
1302,󲰥,可以,可以
1303,󲰦,1、（兄弟、姐妹、亲友）个、位（量词）；2、（这）种（人）；,"1. (brother, 姐妹, 亲友) 个, 位(量词) ; 2. (这) 种(person, people) ; "
1304,󲰧,代,代
1305,󲰨,奇数、单数,"奇数, single, alone数"
1306,󲰩,钉（动词）,钉 (动词)
1307,󲰪,挺（胸、腰、肚）；,"挺(胸, 腰, 肚) ; "
1308,󲰫,（骄傲）,（骄傲）
1309,󲰬,来,来
1310,󲰭,1、庹（tuo，动词）；2、庹（量词）；,"1. 庹(tuo, 动词) ; 2. 庹(量词) ; "
1311,󲰮,过,过
1312,󲰯,（爽快）,（爽快）
1313,󲰰,夏,夏
1314,󲰱,图案,图案
1315,󲰲,九（数词）；,nine(数词) ; 
1316,󲰳,1、（对上级）请求；2、（对神灵）祈求；,1. (对上级) 请求; 2. (对神灵) 祈求; 
1317,󲰴,（毛发（蓬松））,"(hair, wool发 (蓬松) )"
1318,󲰵,（火镰）,（fire镰）
1319,󲰶,1、（刀子的）前缀词素；2、巴（豆）；,1. (刀子的) 前缀词素; 2. 巴(豆) ; 
1320,󲰷,（平安、顺利）,"（平安, 顺利）"
1321,󲰸,1、（钹）；2、（瓢）；,1. (cymbal) ; 2. (瓢) ; 
1322,󲰹,（公马）,（公horse）
1323,󲰺,（蜥蜴）,（蜥蜴）
1324,󲰻,（经络病）,（经络病）
1325,󲰼,哄闹、喧哗,"哄闹, 喧哗"
1326,󲰽,菌（类、子）,"菌 (class, 子)"
1327,󲰾,潜（水）,潜 (水)
1328,󲰿,反扣（把有口的器物反扣着）；,"反扣(把有口的器object, thing反扣着) ; "
1329,󲱀,野山药（野苕（tiao））,野山药(野苕 (tiao) )
1330,󲱁,扒（攀援）,"扒 (climb, scale援)"
1331,󲱂,暴（露）,暴 (露)
1332,󲱃,（准备、预备）,"（准备, 预备）"
1333,󲱄,办（事）,办 (事)
1334,󲱅,整（齐）,整 (齐)
1335,󲱆,（物品、东西）,"（object, thing品, 东西）"
1336,󲱇,建造、建盖,"建造, 建盖"
1337,󲱈,（旅馆、客店）,"（旅馆, 客店）"
1338,󲱉,（经常（天天））,"(经常 (sky, heavensky, heaven) )"
1339,󲱊,（巴豆（药物））,"(巴豆 (药object, thing) )"
1340,󲱋,1、火（名词）；2、点（火）；3、火（五行数）；4、（火枪、火炮）；5、（火药）；,"1. fire(名词) ; 2. 点(fire) ; 3, fire(five行数) ; 4, (fire枪, fire炮) ; 5, (fire药) ; "
1341,󲱌,里（面）,"里 (face, surface)"
1342,󲱍,锋利,锋利
1343,󲱎,砍、伐（树木）,"砍, 伐 (树wood)"
1344,󲱏,清楚、透明、明白,"清楚, through, thorough明, 明白"
1345,󲱐,在（时态词）,在 (时态词)
1346,󲱑,（聪明、伶俐）,"（聪明, 伶俐）"
1347,󲱒,1、边、界；2、方（矩形）；,"1. edge, side, 界; 2. square, direction(矩形) ; "
1348,󲱓,1、边、面、后；2、（跟随、继续）；3、（顶替）；,"1. edge, side, face, surface, 后; 2. (followfollow, accompany, 继续) ; 3, (top, support替) ; "
1349,󲱔,有（古语）,有 (ancient saying)
1350,󲱕,（嘴）巴,(嘴) 巴
1351,󲱖,（猫的词尾）,（猫的词tail）
1352,󲱗,更替,更替
1353,󲱘,揭（开）,"揭 (drive, operate)"
1354,󲱙,1、容易；2、（很，（不得了（补语））；3、慢；,"1. 容易; 2. (很,  (不得了（补语) ); 3, 慢; "
1355,󲱚,干瘪、秕（bi）,"dry瘪, 秕 (bi)"
1356,󲱛,棕（皮、树）,"棕 (皮, 树)"
1357,󲱜,（连续不断地来）,"（continuousplace, location来）"
1358,󲱝,（婚配）,（婚配）
1359,󲱞,1、解（开）；2、放（出去）；3、（睁眼）；,"1. 解(drive, operate) ; 2. 放(出去) ; 3, (睁eye) ; "
1360,󲱟,熟（过头）,"cooked, ripe (过头)"
1361,󲱠,（伤口）发炎,(伤口) 发炎
1362,󲱡,别（动词）,别 (动词)
1363,󲱢,（应该）,（应该）
1364,󲱣,钱财,钱财
1365,󲱤,道（量词）,道 (量词)
1366,󲱥,筑（巢）、做（窝）,"筑(巢) , 做 (窝)"
1367,󲱦,驾（车）,驾 (车)
1368,󲱧,签,签
1369,󲱨,（包茅）,"（pack, wrap茅）"
1370,󲱩,（家谱）,（家谱）
1371,󲱪,（法术）,（法术）
1372,󲱫,愿意,愿意
1373,󲱬,（果吉，彝族家支）,"（果吉, 彝族家支）"
1374,󲱭,起泡,"rise, get up泡"
1375,󲱮,导（导线（导纱子））,"导(导thread, line (导gauze, yarn子) )"
1376,󲱯,您（敬称）,您 (敬称)
1377,󲱰,孝帕,孝帕
1378,󲱱,1、（芝麻）；2、（亲戚）；,"1. (芝hemp, numb) ; 2. (亲戚) ; "
1379,󲱲,轴（车轴、轴承）,"轴 (车轴, 轴承)"
1380,󲱳,（梧桐树）,（梧桐树）
1381,󲱴,（角落）,"（角fall, drop）"
1382,󲱵,隔断（奶）,隔断 (奶)
1383,󲱶,1、（行令、司令）；2、（布置、指挥）；,"1. (行令, 司令) ; 2. (布置, point, indicate挥) ; "
1384,󲱷,（城市）,（城市）
1385,󲱸,垭（山垭）,垭 (山垭)
1386,󲱹,1、尽；2、完了；,1. 尽; 2. 完了; 
1387,󲱺,1、（利益）；2、（营养）；,1. (利益) ; 2. (营养) ; 
1388,󲱻,退,退
1389,󲱼,五（数词）,five (数词)
1390,󲱽,掉、开（虚词）,"掉, drive, operate (虚词)"
1391,󲱾,越、愈,"越, 愈"
1392,󲱿,1、善、贤、吉、良；2、（恩情）；,"1. 善, 贤, 吉, 良; 2. (恩情) ; "
1393,󲲀,来由,来由
1394,󲲁,摆设、陈列,"摆设, 陈列"
1395,󲲂,1、交易；2、贩卖；,1. 交易; 2. 贩卖; 
1396,󲲃,滚（使动）,滚 (使动)
1397,󲲄,剥（剥板栗）,剥 (剥chestnut)
1398,󲲅,旗,旗
1399,󲲆,轻率、马虎,"轻率, horse虎"
1400,󲲇,1、（屋）脊；2、（牛背）峰；,"1. (屋) 脊; 2. (cow, ox背) 峰; "
1401,󲲈,（显然）,（显然）
1402,󲲉,（大腿）,"（big, large腿）"
1403,󲲊,妇（女）,妇 (女)
1404,󲲋,名,名
1405,󲲌,地（副词）,"place, location (副词)"
1406,󲲍,（祭牲）,（祭牲）
1407,󲲎,（布）缝接处,"(布) sew, stitch接处"
1408,󲲏,（开辟）,"（open up, develop）"
1409,󲲐,本事,本事
1410,󲲑,1、刀刃；2、（锋）芒,1. 刀刃; 2. (锋) 芒
1411,󲲒,1、背子（名词）；2、背（量词）,1. 背子(名词) ; 2. 背 (量词)
1412,󲲓,干（活）,dry (活)
1413,󲲔,（轻轻地走动）,"（轻轻place, location走动）"
1414,󲲕,1、（果）蒂；2、事因；3、（人名用词）；,"1. (果) 蒂; 2. 事因; 3, (person, people名用词) ; "
1415,󲲖,（泥鳅）,（泥鳅）
1416,󲲗,采（摘）,采 (摘)
1417,󲲘,完（吃完了）；,完(吃完了) ; 
1418,󲲙,抽、吸,"抽, 吸"
1419,󲲚,穿（针线）,"pierce, penetrate (针thread, line)"
1420,󲲛,（幻术）；（魔术）,(幻术) ;  (魔术)
1421,󲲜,押（送）,押 (送)
1422,󲲝,摔倒,摔倒
1423,󲲞,搭（亲家）,搭 (亲家)
1424,󲲟,（项）圈,(项) 圈
1425,󲲠,棵（量词）,棵 (量词)
1426,󲲡,1、邀约；2、邀请；,1. 邀约; 2. 邀请; 
1427,󲲢,蹲,"squat, crouch"
1428,󲲣,（但是）,（但是）
1429,󲲤,1、结（子）；2、（线团）；3、打结；,"1. 结(子) ; 2. (thread, line团) ; 3, 打结; "
1430,󲲥,1、（削）砍；2、刨（木板）；,1. (削) 砍; 2. 刨(wood板) ; 
1431,󲲦,1、（垂落）；2、（和尚）；,"1. (垂fall, drop) ; 2. (和尚) ; "
1432,󲲧,件（量词）,件 (量词)
1433,󲲨,了（助词）；,了(助词) ; 
1434,󲲩,（（祖宗的）的祠堂、神坛）,"( (祖宗的) 的祠堂, 神坛)"
1435,󲲪,回忆,回忆
1436,󲲫,（上、坎上、岩石上）,"（上, 坎上, 岩石上）"
1437,󲲬,去,去
1438,󲲭,（用手掌）打,(用hand掌) 打
1439,󲲮,弱,弱
1440,󲲯,残废、瘫痪,"残废, 瘫痪"
1441,󲲰,毁，坏（动词）,"毁, 坏 (动词)"
1442,󲲱,（舒畅）,（舒畅）
1443,󲲲,1、仓；2、库；,1. 仓; 2. 库; 
1444,󲲳,（伤口）发炎,(伤口) 发炎
1445,󲲴,灵敏,灵敏
1446,󲲵,惩治,惩治
1447,󲲶,尖,尖
1448,󲲷,搭（话）（回答）,搭(话)  (回答)
1449,󲲸,掼（稻子）,掼 (稻子)
1450,󲲹,1、输；2、败；,1. 输; 2. 败; 
1451,󲲺,1、诅咒；2、（赌咒）；,1. 诅咒; 2. (赌咒) ; 
1452,󲲻,巡回转,巡回转
1453,󲲼,1、茂盛；2（（树木）枝叶茂盛）；,"1, 茂盛; 2( (树wood) 枝叶茂盛); "
1454,󲲽,贫穷、贫困,"贫穷, 贫困"
1455,󲲾,底下,"底descend, go down"
1456,󲲿,（曲涅、彝族家支名）,"（曲涅, 彝族家支名）"
1457,󲳀,吃亏,吃亏
1458,󲳁,（磨刀霍霍）,（磨刀霍霍）
1459,󲳂,（荣华）,（荣华）
1460,󲳃,巧、灵活,"skillful, clever, 灵活"
1461,󲳄,舅舅,舅舅
1462,󲳅,中（（两者之间））,中( (两者之间) )
1463,󲳆,1、缺乏；2、（也许、可能）,"1. 缺乏; 2.  (也许, 可能)"
1464,󲳇,1、（夜）晚；2、（天）黑；3、暗、晚；,"1. (夜) 晚; 2. (sky, heaven) 黑; 3, 暗, 晚; "
1465,󲳈,栓、捆,"栓, 捆"
1466,󲳉,（土坎）,（土坎）
1467,󲳊,1、苦（味道）；2、（盐巴）咸；,1. 苦(味道) ; 2. (盐巴) 咸; 
1468,󲳋,技术、技艺,"技术, 技艺"
1469,󲳌,1、何（什么）；2、如何、怎样、怎么；,"1. 何(什么) ; 2. 如何, 怎样, 怎么; "
1470,󲳍,（酒）醒,"(wine, alcohol) 醒"
1471,󲳎,（果子、粮食）成熟,"(果子, 粮食) 成cooked, ripe"
1472,󲳏,撂,撂
1473,󲳐,喷（水）,喷 (水)
1474,󲳑,铠甲,"铠armor, first"
1475,󲳒,放出（池塘水、田水）、排水,"放出(池塘水, 田水) , 排水"
1476,󲳓,姓,姓
1477,󲳔,（嘴）唇,(嘴) 唇
1478,󲳕,（强行）使牲畜往一定方向走,"(强行) 使livestock往one定square, direction向走"
1479,󲳖,馒（头）、包（子）,"馒(头) , pack, wrap (子)"
1480,󲳗,（震动）感,(震动) 感
1481,󲳘,浓、稠,"浓, 稠"
1482,󲳙,（膀胱）,（膀胱）
1483,󲳚,跟（同）,follow (同)
1484,󲳛,静,静
1485,󲳜,（清楚、明白）,"（清楚, 明白）"
1486,󲳝,1、甥；2、（姐夫、丈夫）；3、（赘婿）；,"1. 甥; 2. (姐夫, 丈夫) ; 3, (赘婿) ; "
1487,󲳞,1、移动、挪动；2、让开、走开；,"1. 移动, 挪动; 2. 让drive, operate, 走drive, operate; "
1488,󲳟,1、仙；2、（细努罗，南诏开国国君）；,"1. 仙; 2. (细努罗, 南诏drive, operate国国lord, ruler) ; "
1489,󲳠,（压）瘪,(压) 瘪
1490,󲳡,1、趁；2、依靠；,"1. 趁; 2. 依lean, depend on; "
1491,󲳢,陪伴,陪accompany
1492,󲳣,（平均）分摊,(平均) 分摊
1493,󲳤,黄松,黄松
1494,󲳥,张（弓）,张 (弓)
1495,󲳦,（自己）,（自己）
1496,󲳧,（筲箕（shaoji））,(筲箕 (shaoji) )
1497,󲳨,（火）焰,(fire) 焰
1498,󲳩,轮,轮
1499,󲳪,板（木板、石板）；,"板(wood板, 石板) ; "
1500,󲳫,（小）块,(小) 块
1501,󲳬,救,救
1502,󲳭,（很累）,（很累）
1503,󲳮,抢劫,抢劫
1504,󲳯,复活,复活
1505,󲳰,抽空,抽空
1506,󲳱,潜（水）,潜 (水)
1507,󲳲,跨,跨
1508,󲳳,誊（teng）抄,誊(teng) 抄
1509,󲳴,吵闹、叫嚷、喧哗,"吵闹, 叫嚷, 喧哗"
1510,󲳵,禁忌,禁忌
1511,󲳶,（火）烟,(fire) 烟
1512,󲳷,睫毛,"睫hair, wool"
1513,󲳸,封,封
1514,󲳹,烦躁,烦躁
1515,󲳺,1、耍赖；2、（无中生有）；,"1. play, fool around赖; 2. (无中生有) ; "
1516,󲳻,软（绵绵）,软 (绵绵)
1517,󲳼,椽（chuan）（子）,椽(chuan)  (子)
1518,󲳽,骨（头）,骨 (头)
1519,󲳾,（锅庄石）,（锅庄石）
1520,󲳿,（心）欠,"(heart, mind) 欠"
1521,󲴀,（顺心、合心）,"（顺heart, mind, 合heart, mind）"
1522,󲴁,引（水）,引 (水)
1523,󲴂,（舒服、爽快）,"（舒服, 爽快）"
1524,󲴃,早（晨）,早 (晨)
1525,󲴄,前（面）,"前 (face, surface)"
1526,󲴅,片（量词）,片 (量词)
1527,󲴆,（斑鸠）,（斑鸠）
1528,󲴇,护,护
1529,󲴈,1、（毛毛雨）；2、（沄（yun）雨）；,"1. (hair, woolhair, wool雨) ; 2. (沄 (yun) 雨); "
1530,󲴉,1、臀；2、（腰杆）；,1. 臀; 2. (腰杆) ; 
1531,󲴊,疮,疮
1532,󲴋,（鹌鹑）,（鹌鹑）
1533,󲴌,（叶子）烟,(叶子) 烟
1534,󲴍,重字,重字
1535,󲴎,（远古）,（远古）
1536,󲴏,端（正）,端 (正)
1537,󲴐,骗,骗
1538,󲴑,（施人，古彝人的一支）,"（施person, people, 古彝person, people的one支）"
1539,󲴒,1、抓、拿；2、（螃蟹）；,"1. 抓, 拿; 2. (螃蟹) ; "
1540,󲴓,也,也
1541,󲴔,野生（作物）,"野生 (作object, thing)"
1542,󲴕,（细）敲,(细) 敲
1543,󲴖,嫩芽,嫩芽
1544,󲴗,全、彻底,"全, 彻底"
1545,󲴘,必要,必要
1546,󲴙,（任意、随便）,"（任意, follow, accompany便）"
1547,󲴚,（包谷）米,"(pack, wrap谷) 米"
1548,󲴛,眯（眼）,眯 (eye)
1549,󲴜,锯（子）,"saw, cut (子)"
1550,󲴝,常常（地）,"常常 (place, location)"
1551,󲴞,（祷告）,（pray）
1552,󲴟,腐、烂,"腐, 烂"
1553,󲴠,庇护,庇护
1554,󲴡,贿赂,贿赂
1555,󲴢,片、丘,"片, 丘"
1556,󲴣,拆,拆
1557,󲴤,（猪）叫,(猪) 叫
1558,󲴥,哎！（应声）,哎! (应声)
1559,󲴦,（陀螺，一种儿童玩具）,"（陀螺, one种儿童play具）"
1560,󲴧,齐，足够,"齐, 足够"
1561,󲴨,1、儿子；2、小，少；3、者、人；,"1. 儿子; 2. 小, 少; 3, 者, person, people; "
1562,󲴩,积水,积水
1563,󲴪,点（名）、题（名）,"点(名) , 题 (名)"
1564,󲴫,鸣叫,鸣叫
1565,󲴬,跨（门槛）,跨 (门槛)
1566,󲴭,（一种土染料，用水塘里的黑泥浆、加马桑煮水，用于染衣物等）,"（one种土染料, 用水塘里的黑泥浆, 加horse桑煮水, 用于染衣object, thing等）"
1567,󲴮,跪,跪
1568,󲴯,（两）端,(两) 端
1569,󲴰,吝啬,吝啬
1570,󲴱,香（祭祀用品）,香 (祭祀用品)
1571,󲴲,麻味道,"hemp, numb味道"
1572,󲴳,1、（颈项）；2、（头子、头目）；,"1. (颈项) ; 2. (头子, 头目) ; "
1573,󲴴,（中）雨,(中) 雨
1574,󲴵,天,"sky, heaven"
1575,󲴶,空旷,空旷
1576,󲴷,认（认错、认输）,"认 (认错, 认输)"
1577,󲴸,挂（起）,"挂 (rise, get up)"
1578,󲴹,烧（炒）肉的气味,烧(炒) 肉的气味
1579,󲴺,（臭味、怪味）,"（臭味, 怪味）"
1580,󲴻,给,给
1581,󲴼,（傣族（摆艺））,(傣族 (摆艺) )
1582,󲴽,拥挤,crowded
1583,󲴾,宽阔,"wide, broad阔"
1584,󲴿,伯父,伯父
1585,󲵀,（黏糊糊（食物腐烂后的状况））,"(黏糊糊 (食object, thing腐烂后的状况) )"
1586,󲵁,遍（走遍）,遍 (走遍)
1587,󲵂,（线头、火柴头）,"（thread, line头, fire柴头）"
1588,󲵃,（果子名称的前缀词）,（果子名称的前缀词）
1589,󲵄,（计划）,（计划）
1590,󲵅,（轻）快,(轻) 快
1591,󲵆,（前方、远方）,"（前square, direction, 远square, direction）"
1592,󲵇,（全猪全羊（杀死退毛而未剖肚的猪羊））,"(全猪全羊 (杀死退hair, wool而未剖肚的猪羊) )"
1593,󲵈,瘦,瘦
1594,󲵉,咽喉,咽喉
1595,󲵊,1、休息；2、（勒俄，彝族诗歌的一种）；,"1. 休息; 2. (勒俄, 彝族诗歌的one种) ; "
1596,󲵋,（拘禁、禁闭）,"（拘禁, confinement, detention）"
1597,󲵌,（棉花）,（cotton花）
1598,󲵍,（祈求解脱）,"（祈求解shed, fall off）"
