0xf222e	󲈮	󳤣|󐁥󲐀，󲊂󐁥󲐀
0xf2b55	󲭕	彝文字符的中文含义是展（览），英文含义是展 (览)。|的意思是展（览）（展 (览)）。
0xf2b56	󲭖	是通用彝文字符 unicode 0xf2b56 滇川黔桂彝文|「（因为）」的通用彝文是「」。
0xf2b57	󲭗	是通用彝文字符 unicode 0xf2b57 滇川黔桂彝文|󲵂󳔀󲽬󳈻
0xf2b58	󲭘	1. 稀疏; 2. (词缀) ;|󲺮󳑍󲴏󳌻󲻆󳃥󲰲󲷒󲠨󲺹󲦟󲹍
0xf2b59	󲭙	「1、幼、小；2、（兄弟、姐妹、家族）；3、（婶婶、后娘）；|1、幼、小；2、（兄弟、姐妹、家族）；3、（婶婶、后娘）；4
0xf2b5a	󲭚	󳌳󲹑󲽶󳘛󳐶󲝌󲳛󲡭|的英文是糯 (谷, 米)，中文是糯（谷、米）。
0xf2b5b	󲭛	彝文字符的中文含义是簸（东西），英文含义是簸 (东西)。|󳙪󲥮󳓤󲲹󲷨󲣽󲫺󳋓󲥡
0xf2b5c	󲭜	的意思是（天）明、亮（(sky, heaven) 明, 亮）|󲢕󲼢󲨥󳚫󲫶
0xf2b5d	󲭝	彝文 unicode:0xf2b5d 通用彝文字符集|1. 拌; 2. (荞圪塔) ; 3, 蒸(饭) ;
0xf2b5e	󲭞	是通用彝文字符 unicode 0xf2b5e 滇川黔桂彝文|编号3901对应彝文字符。
0xf2b5f	󲭟	是通用彝文字符 unicode 0xf2b5f 滇川黔桂彝文|(供) 养 in Yi script is  (（供）养).
0xf2b60	󲭠	󳂔󲜲󲱩󲬥󳘈󲱏|点(动词)  (点豆腐, 点eye药水)
0xf2b61	󲭡	󲣸󳈍󲲅󲧯󳚉󲲠󲾻󲮘󳀣󲺵|催 in Yi script is  (催).
0xf2b62	󲭢	󲨀󳍖󳄌󳄴󲾞󳏼󳋥󲰑󲷽󲰴󳚐|的英文是（形容词缀），中文是（形容词缀）。
0xf2b63	󲭣	󲝯󳖃󲿳󳈥󲷡󳂤󲞯󳍳󲻬󲡨|折磨
0xf2b64	󲭤	󲢖󳈷󳋝󲭚󲷃󲬊󲜾󳀼󳄐󲹙󲯄󳙜|1、涂抹；2（乌马）；3（孔雀）；用通用彝文写作「」。
0xf2b65	󲭥	的英文是(炒face, surface)  (名词)，中文是|(炒face, surface)  (名词) in Yi s
0xf2b66	󲭦	的英文是枯萎，中文是枯萎。|󳒽󳙼󳐎󲾄󲯦󲴃󲸪󲜓󲟎󲩏󲷬󳎾󳓕
0xf2b67	󲭧	是通用彝文字符 unicode 0xf2b67 滇川黔桂彝文|󲭓󲸡󳇭󲳁󲹔󳙠󳚒󳚉󳆟󳜣󲤒󲳓
0xf2b68	󲭨	(踩水)  (游泳的one种动作)|是通用彝文字符 unicode 0xf2b68 滇川黔桂彝文
0xf2b69	󲭩	彝文字符的中文含义是（口袋），英文含义是（口袋）。|的意思是（口袋）（（口袋））。
0xf2b6a	󲭪	（初）一用通用彝文写作「」。|的意思是（初）一（(初) one）。
0xf2b6b	󲭫	The Yi script for '听' is ''. I|󳏅󲞸󲴷󳋮󲪻󲧨󲞑󲨐󲼖
0xf2b6c	󲭬	是通用彝文字符 unicode 0xf2b6c 滇川黔桂彝文|编号3915对应彝文字符。
0xf2b6d	󲭭	是通用彝文字符 unicode 0xf2b6d 滇川黔桂彝文|1. 啃; 2. 咬(使动) ;
0xf2b6e	󲭮	（砚台）|（砚台） in Yi script is  (（砚台）).
0xf2b6f	󲭯	󳑨󲧎 strong bad rain|󳜦󲝂󲡤󲴬󲩧󲬬󲻂󲟬󳈓󲦀
0xf2b70	󲭰	的意思是盖（盖）。|盖
0xf2b71	󲭱	󲽷󳁸 cloud water cold|编号3920对应彝文字符。
0xf2b72	󲭲	是通用彝文字符 unicode 0xf2b72 滇川黔桂彝文|󳋻󳌘󳐧󲥨󲱠󲜷󲱰󲶅󲜐󲧲󲽞󲿳󲩬
0xf2b73	󲭳	是通用彝文字符 unicode 0xf2b73 滇川黔桂彝文|1. 驯服; 2. (田) 埂;
0xf2b74	󲭴	是通用彝文字符 unicode 0xf2b74 滇川黔桂彝文|󳚕󳙽󲯣󳆕󳂩󲠏󲴯󳕌󳂼󲨄󲱍󳍯󲶠󳇮
0xf2b75	󲭵	是通用彝文字符 unicode 0xf2b75 滇川黔桂彝文|󳇚󲭰 flower light forest
0xf2b76	󲭶	（送）脱用通用彝文写作「」。|的英文是(送) shed, fall off，中文是（送）脱
0xf2b77	󲭷	(你, 我, 他) 家|的英文是(你, 我, 他) 家，中文是（你、我、他）家。
0xf2b78	󲭸	编号3927对应彝文字符。|彝文字符的中文含义是富裕，英文含义是富裕。
0xf2b79	󲭹	(母羊) lick (崽) in Yi script is |彝文字符的中文含义是（母羊）舔（崽），英文含义是(母羊) l
0xf2b7a	󲭺	󳃸󲷧󳛑󳘋󲣗󲰦󳚏󳀜󲴥󲾿󲹃󳊓󲤦󲝩|是通用彝文字符 unicode 0xf2b7a 滇川黔桂彝文
0xf2b7b	󲭻	󲠛󲥮󳊊󲺬󲧺󲯧󲫿󳏂|的英文是（强调），中文是（强调）。
0xf2b7c	󲭼	字符的词汇编号是3931。|1, 双, 对(量词) 2, 双(数) , 偶 (数)
0xf2b7d	󲭽	彝文 unicode:0xf2b7d 通用彝文字符集|󲮠󳘤󲡊󳈦󲯸󳋪󳇖󲤮󳂶󳈨
0xf2b7e	󲭾	的意思是（马铜铃）（（horse铜铃））。|󳍳󲵒󳘞󳋝󳈅󳏹󳂲󳂄󲝚󳔴󳀻󲩷󲱼󲣶
0xf2b7f	󲭿	「踏（脚）」的通用彝文是「」。|踏 (脚) in Yi script is  (踏（脚）).
0xf2b80	󲮀	彝文字符的中文含义是（拐杖），英文含义是（拐杖）。|编号3935对应彝文字符。
0xf2b81	󲮁	󲜕󳚏󳃐󲶮󲞶󲝱󲢘󳗢󳈫󲧃󳉰󳏐|（complain, blame）
0xf2b82	󲮂	󲰻󳄉󳏘󲷻󲟝󳖽󲩖󳆖󳛛󳈘󲠣󳏃󳊄󲟭|是通用彝文字符 unicode 0xf2b82 滇川黔桂彝文
0xf2b83	󲮃	󳌳󲪓󲶭󳒤󲫾󲡓󲩎󲝂󲬣󲬡󳓠|󳑥󲝢󳎜󲡹󳕱󳀪󲠣󳉀󳓭󲱘󳄫
0xf2b84	󲮄	是通用彝文字符 unicode 0xf2b84 滇川黔桂彝文|(形容词缀)  (静悄悄)
0xf2b85	󲮅	「1、丢；2、投掷；」的通用彝文是「」。|The Yi script for '1、丢；2、投掷；' 
0xf2b86	󲮆	字符的词汇编号是3941。|󲯷󳇎󲦸󲱼󲦶󲲑󲿝
0xf2b87	󲮇	󳕅󳜟󳇣󲳼󲣜󳗵󲟍󳍷󳃄󲯾󳛊󳚺󲦰󲻝|彝文字符的中文含义是（八角），英文含义是（star anis
0xf2b88	󲮈	󳌏󲟡󲝁󲴑󳐦󲦝󲻂|󳂢󳏃󲩆󲳼󳊴󲟵
0xf2b89	󲮉	󳁲󲼭󲱭󲩺|彝文字符的中文含义是（斗笠），英文含义是（斗笠）。
0xf2b8a	󲮊	的意思是团（量词）（团 (量词)）。|的英文是团 (量词)，中文是团（量词）。
0xf2b8b	󲮋	的意思是迟（迟）。|󳑡󳐼 light sky island
0xf2b8c	󲮌	的意思是山羊（山羊）。|是通用彝文字符 unicode 0xf2b8c 滇川黔桂彝文
0xf2b8d	󲮍	晌午 (饭) in Yi script is  (晌午（饭）|󳈎󳘓󳚒󳘿󲟉󲸰󲽝󳍲󳒘󲨟󲞒󳖋󳂙
0xf2b8e	󲮎	彝文字符的中文含义是错，英文含义是错。|是通用彝文字符 unicode 0xf2b8e 滇川黔桂彝文
0xf2b8f	󲮏	的英文是（燕麦），中文是（燕麦）。|的意思是（燕麦）（（燕麦））。
0xf2b90	󲮐	彝文 unicode:0xf2b90 通用彝文字符集|（decisive, resolute）
0xf2b91	󲮑	砸|的英文是砸，中文是砸。
0xf2b92	󲮒	彝文字符的中文含义是（宝剑），英文含义是（precious |󲴔󲼑󳚝󳎰󳄶󳉕󲞄󲾏󳆫󳀀󲲕 the highest good i
0xf2b93	󲮓	󳕎󲸳󲿧󳕗󳕭󲥁󲡯|󳕺󲫜󲣾󲮸󲥑󳉌󲩲󳊈󲳔󲻽󳓆󲰯󳆾󲻞
0xf2b94	󲮔	彝文字符的中文含义是关（心），英文含义是关 (heart, |是通用彝文字符 unicode 0xf2b94 滇川黔桂彝文
0xf2b95	󲮕	细 (用来powderpowder, end状的object|󳖺󳕸󳐟󲞩󲦝
0xf2b96	󲮖	是通用彝文字符 unicode 0xf2b96 滇川黔桂彝文|槽 in Yi script is  (槽).
0xf2b97	󲮗	彝文字符的中文含义是到，英文含义是到。|󲤥󲥥󳂼󲯑
0xf2b98	󲮘	彝文 unicode:0xf2b98 通用彝文字符集|󲣸󳈍󲭡󲲅󲧯󳚉󲲠󲾻󳀣󲺵
0xf2b99	󲮙	1、鸡；2、酉（地支）；3、（地名用词）；4、（芫荽）；用通|󳅺󲵙󳍰󲴁󲫺󳇍󲮬󳃦󲵠󲾽󲿈󳂊󲰼󳅝
0xf2b9a	󲮚	1. (无兴趣) ; 2. (无力气) ;|彝文字符的词汇编号是3961。
0xf2b9b	󲮛	的英文是(horse, 羊) 叫，中文是（马、羊）叫。|(horse, 羊) 叫 in Yi script is  
0xf2b9c	󲮜	The Yi script for '急（食）' is ''|󳖲󳕏󳃬󲦎󲣮󲶊󳅹󲝕󲨻󲦱󲦽󳙰󳎿
0xf2b9d	󲮝	The Yi script for '1、保护；2、担保；'|1、保护；2、担保；用通用彝文写作「」。
0xf2b9e	󲮞	󳛡󲡸󲵴󳔣󲞀󲻌󳖝󲞻|彝文 unicode:0xf2b9e 通用彝文字符集
0xf2b9f	󲮟	󲤎󲿇󲽔󳄝󳚚󲽄󲵂󲲾󲹳󳘩|󳂚󲵨 sky flower true
0xf2ba0	󲮠	󳆚󲿾󳏪󳅪|(碓) shoulder pole
0xf2ba1	󲮡	彝文字符的中文含义是豁（出），英文含义是豁 (出)。|豁 (出)
0xf2ba2	󲮢	彝文字符的中文含义是破、损，英文含义是破, 损。|是通用彝文字符 unicode 0xf2ba2 滇川黔桂彝文
0xf2ba3	󲮣	彝文字符的中文含义是（苗族），英文含义是（苗族）。|（苗族） in Yi script is  (（苗族）).
0xf2ba4	󲮤	的意思是不（否定副词）（不 (否定副词)）。|The Yi script for '不（否定副词）' is
0xf2ba5	󲮥	是通用彝文字符 unicode 0xf2ba5 滇川黔桂彝文|编号3972对应彝文字符。
0xf2ba6	󲮦	的意思是堵塞（洞口）（堵塞 (洞口)）。|「堵塞（洞口）」的通用彝文是「」。
0xf2ba7	󲮧	󲽬󲫫󲤅󳐸󲲾󲸍󲿈󳄳󲠧󳆖󲼟󲷰󳀂|󲞮󲶱󲯊󲾳󳌘󳍋󲹼󳌇󲟋󲹅󲹆󲡌
0xf2ba8	󲮨	是通用彝文字符 unicode 0xf2ba8 滇川黔桂彝文|󳌇󲴊󳓆󳎬󲜤󳁂󳛱󳅗󲨝󳖇󲴴󳛲󲹌󳐋
0xf2ba9	󲮩	彝文字符的中文含义是椒类，英文含义是椒class。|的意思是椒类（椒class）。
0xf2baa	󲮪	彝文字符的中文含义是取（下），英文含义是取 (descend|取 (descend, go down) in Yi scr
0xf2bab	󲮫	的意思是（语音）清脆（(语音) 清crisp, brittl|(语音) 清crisp, brittle in Yi scr
0xf2bac	󲮬	「估计、估量；」的通用彝文是「」。|󳅺󲮙󲵙󳍰󲴁󲫺󳇍󳃦󲵠󲾽󲿈󳂊󲰼󳅝
0xf2bad	󲮭	（eye睛盯着看）|的意思是（眼睛盯着看）（（eye睛盯着看））。
0xf2bae	󲮮	是通用彝文字符 unicode 0xf2bae 滇川黔桂彝文|󲡿󳗵󳍅󳅣󳂬󳒐󳆉󲭾󳘶󲧦󲰩󳁓󲰛
0xf2baf	󲮯	󳈦󲤘 fast time mountain|󳆦󳍚󳙳󳛉󲥇󲴡󲨂󳄀󳇌󲣋󲣂󲸲
0xf2bb0	󲮰	赊 (账)|编号3983对应彝文字符。
0xf2bb1	󲮱	󳖻󲨲󲭃󳕔󲡎|彝文字符的中文含义是（袜子），英文含义是（袜子）。
0xf2bb2	󲮲	的意思是顽皮、俏皮；（顽皮, 俏皮;）。|顽皮, 俏皮; in Yi script is  (顽皮、俏
0xf2bb3	󲮳	的意思是肯（肯）。|肯
0xf2bb4	󲮴	（清明）|的英文是（清明），中文是（清明）。
0xf2bb5	󲮵	的英文是light, 赤;，中文是光、赤；。|是通用彝文字符 unicode 0xf2bb5 滇川黔桂彝文
0xf2bb6	󲮶	彝文字符的中文含义是顶替，英文含义是top, support|󲪈 star mind
0xf2bb7	󲮷	彝文字符的中文含义是（使）动，英文含义是(使) 动。|󲩅󳑐󳌥󲵠󳙾󲭔󳆦
0xf2bb8	󲮸	（死板, 不灵活）|（死板, 不灵活） in Yi script is  (（死
0xf2bb9	󲮹	是通用彝文字符 unicode 0xf2bb9 滇川黔桂彝文|󳇰󲩄󳄘󲤛󲺌󲸡
0xf2bba	󲮺	󳓥󳃀󲾰󳓛󲼔󲜒󲧴󲲓|的英文是扁 (形)，中文是扁（形）。
0xf2bbb	󲮻	是通用彝文字符 unicode 0xf2bbb 滇川黔桂彝文|彝文字符的中文含义是哄，英文含义是哄。
0xf2bbc	󲮼	󲣕󲠲󳂎󲱖󲬚󳕑󲾳󲾶󲷀|「1、牵、延申；2、（发展、昌盛）」的通用彝文是「」。
0xf2bbd	󲮽	彝文 unicode:0xf2bbd 通用彝文字符集|󳌨󳁖󲼩󳚲󳈺󳈪󳙍󳜜󳈢
0xf2bbe	󲮾	是通用彝文字符 unicode 0xf2bbe 滇川黔桂彝文|󲞕󲣑󳄟󳙡󳐵󳀓󲸤󲻅󲟄
0xf2bbf	󲮿	1. 汗渍; 2. 污垢;|是通用彝文字符 unicode 0xf2bbf 滇川黔桂彝文
0xf2bc0	󲯀	样 in Yi script is  (样).|的意思是样（样）。
0xf2bc1	󲯁	彝文字符的中文含义是（渺小、细微），英文含义是（渺小, 细微|的意思是（渺小、细微）（（渺小, 细微））。
0xf2bc2	󲯂	󲴱󳗪󲡰󲻪󲯹󲩦󳒂󳅀󲹝󲪆󲦙󲻕|是通用彝文字符 unicode 0xf2bc2 滇川黔桂彝文
0xf2bc3	󲯃	彝文字符的中文含义是笙，英文含义是笙。|是通用彝文字符 unicode 0xf2bc3 滇川黔桂彝文
0xf2bc4	󲯄	彝文字符的中文含义是毡子，英文含义是毡子。|是通用彝文字符 unicode 0xf2bc4 滇川黔桂彝文
0xf2bc5	󲯅	(啊呀) 表示叹息|彝文字符的中文含义是（啊呀）表示叹息，英文含义是(啊呀) 表
0xf2bc6	󲯆	的意思是（半夏）（（半夏））。|彝文字符的中文含义是（半夏），英文含义是（半夏）。
0xf2bc7	󲯇	字符的词汇编号是4006。|1. 筐, 箩, 笼; 2. (量词) ;
0xf2bc8	󲯈	彝文 unicode:0xf2bc8 通用彝文字符集|羡慕 in Yi script is  (羡慕).
0xf2bc9	󲯉	彝文字符的中文含义是（额头），英文含义是（forehead）|的英文是（forehead），中文是（额头）。
0xf2bca	󲯊	华 (美) in Yi script is  (华（美）).|󳇾󲳝󳚠󳀠󳅧󳑇󲳁󲥞
0xf2bcb	󲯋	彝文字符的中文含义是纠缠，英文含义是纠缠。|是通用彝文字符 unicode 0xf2bcb 滇川黔桂彝文
0xf2bcc	󲯌	的意思是间（天地之间）（间 (sky, heavenplac|彝文字符的中文含义是间（天地之间），英文含义是间 (sky,
0xf2bcd	󲯍	彝文 unicode:0xf2bcd 通用彝文字符集|彝文字符的中文含义是（盐）咸，英文含义是(盐) 咸。
0xf2bce	󲯎	彝文字符的中文含义是积、攒（钱），英文含义是积, 攒 (钱)|的英文是积, 攒 (钱)，中文是积、攒（钱）。
0xf2bcf	󲯏	󳗯󳐫󲸡󲞼󲶸󲧉󲝟󲟒󲣯󳂡󲼾󲯒|󳚏󳅙 lake false bad
0xf2bd0	󲯐	的意思是（冻菌）（（冻菌））。|彝文字符的中文含义是（冻菌），英文含义是（冻菌）。
0xf2bd1	󲯑	󲤥󲥥󳂼󲮗|󳌢󲞓󳃓󳄑󲧖󲧹󲸅󲸺󳆕
0xf2bd2	󲯒	󳗯󳐫󲸡󲞼󲶸󲧉󲝟󲟒󲣯󳂡󲼾󲯏|(heart, mind) 慌 in Yi script i
0xf2bd3	󲯓	花 (斑纹)|的英文是花 (斑纹)，中文是花（斑纹）。
0xf2bd4	󲯔	󲴸󲯶󳁉󲸢󲼀󳒥󳙄󳉄|的英文是（onomatopoeia），中文是（象声词）。
0xf2bd5	󲯕	盖 (屋top, support)|是通用彝文字符 unicode 0xf2bd5 滇川黔桂彝文
0xf2bd6	󲯖	󲼗󳗘󳏰󳇸󲹍󲱤󲷘󳃠󳛨|󳒿󲞥󲹭󲺍󳐆󲜑󳅵󲧘󲬉󲵎󳄚󲸌
0xf2bd7	󲯗	（名声, 身份, place, location位）|是通用彝文字符 unicode 0xf2bd7 滇川黔桂彝文
0xf2bd8	󲯘	的英文是(打) 破，中文是（打）破。|的意思是（打）破（(打) 破）。
0xf2bd9	󲯙	彝文字符的中文含义是（习惯），英文含义是（习惯）。|󲶲󲬅 rain slow space
0xf2bda	󲯚	（囤箩） in Yi script is  (（囤箩）).|彝文字符的中文含义是（囤箩），英文含义是（囤箩）。
0xf2bdb	󲯛	彝文字符的中文含义是设（宴），英文含义是设 (宴)。|的英文是设 (宴)，中文是设（宴）。
0xf2bdc	󲯜	是通用彝文字符 unicode 0xf2bdc 滇川黔桂彝文|的意思是（乱）撕，扯；（(乱) 撕, 扯;）。
0xf2bdd	󲯝	彝文 unicode:0xf2bdd 通用彝文字符集|󳍈󲶉󲳭󲯟󳏣󲳢󲿀󳎥󳌨󲤶󲨐󳘏󳃇
0xf2bde	󲯞	彝文字符的中文含义是苦（味道），英文含义是苦 (味道)。|的意思是苦（味道）（苦 (味道)）。
0xf2bdf	󲯟	󲫡 kind dark|是通用彝文字符 unicode 0xf2bdf 滇川黔桂彝文
0xf2be0	󲯠	是通用彝文字符 unicode 0xf2be0 滇川黔桂彝文|󲠠󳊽󳛎󳛯󳂽󲩧󲭍󳒅󲠺󲹹󳔰󲣍󲰃
0xf2be1	󲯡	是通用彝文字符 unicode 0xf2be1 滇川黔桂彝文|󲳎󲱈󳘌󳅻󲺜󲫟󳔱󲠹󳓆󲶿󲯩
0xf2be2	󲯢	是通用彝文字符 unicode 0xf2be2 滇川黔桂彝文|字符的词汇编号是4033。
0xf2be3	󲯣	󳂙󳉦󲰮󲡌󳕇󳖅󲝘|( (籽粒) 饱满, 壮实)
0xf2be4	󲯤	的意思是（便宜）（（cheap, inexpensive））|是通用彝文字符 unicode 0xf2be4 滇川黔桂彝文
0xf2be5	󲯥	󳀧󳌹󳓍󲪂󲡞󲡶|是通用彝文字符 unicode 0xf2be5 滇川黔桂彝文
0xf2be6	󲯦	走样 in Yi script is  (走样).|的英文是走样，中文是走样。
0xf2be7	󲯧	是通用彝文字符 unicode 0xf2be7 滇川黔桂彝文|󳎞󳗷󲜯󳍛󲹋󲱙󳜥󳗑󳕌󳗣󲫄󲱌󳛕󳀻
0xf2be8	󲯨	的英文是（砍柴刀），中文是（砍柴刀）。|（砍柴刀） in Yi script is  (（砍柴刀）)
0xf2be9	󲯩	󲳎󲱈󳘌󳅻󲺜󲫟󳔱󲠹󳓆󲶿󲯡|是通用彝文字符 unicode 0xf2be9 滇川黔桂彝文
0xf2bea	󲯪	是通用彝文字符 unicode 0xf2bea 滇川黔桂彝文|软弱
0xf2beb	󲯫	󲳯󲡍󳂌󳑉󲴁󲞐󳙶󲲘󲧛󳃭󳎺󳛎|( (onomatopoeia) 枪炮声)
0xf2bec	󲯬	是通用彝文字符 unicode 0xf2bec 滇川黔桂彝文|（杜鹃）
0xf2bed	󲯭	的意思是（瞌睡）（（瞌睡））。|󳒲󳛰 people flower mind
0xf2bee	󲯮	（稀巴烂） in Yi script is  (（稀巴烂）)|（稀巴烂）
0xf2bef	󲯯	的意思是（筲箕）（（筲箕））。|（筲箕） in Yi script is  (（筲箕）).
0xf2bf0	󲯰	1. 迁, 启; 2. 取;|󲟼󳙟󲸷󲦥󲢜󲜫󲺻󲭨󳋳󲿈󳅣
0xf2bf1	󲯱	的英文是碎，中文是碎。|󲲵󲢫󲯗󳍒
0xf2bf2	󲯲	The Yi script for '（（厦子）小屋檐）' |是通用彝文字符 unicode 0xf2bf2 滇川黔桂彝文
0xf2bf3	󲯳	彝文 unicode:0xf2bf3 通用彝文字符集|填
0xf2bf4	󲯴	是通用彝文字符 unicode 0xf2bf4 滇川黔桂彝文|的英文是（姑父），中文是（姑父）。
0xf2bf5	󲯵	的意思是（以）后（(以) 后）。|彝文字符的中文含义是（以）后，英文含义是(以) 后。
0xf2bf6	󲯶	（凡是） in Yi script is  (（凡是）).|是通用彝文字符 unicode 0xf2bf6 滇川黔桂彝文
0xf2bf7	󲯷	是通用彝文字符 unicode 0xf2bf7 滇川黔桂彝文|欠 (债)
0xf2bf8	󲯸	的意思是免疫（免疫）。|彝文字符的中文含义是免疫，英文含义是免疫。
0xf2bf9	󲯹	󲭿󲾠󳂸󲩐󲠧󲯨󲺧󲧨󳔚󲡪󳛈󳚭󲢆|的意思是（饭（儿语））（(饭 (儿语) )）。
0xf2bfa	󲯺	󲦪󲿲󳚹󳐌󳈜󳁢󲼗󲣁󲺻󳓱|掏 (沟, 水井等)
0xf2bfb	󲯻	󲩭󳀓󳏃󲯧󲫜󳄆󳀫󲲽|彝文字符的中文含义是恨、讨厌，英文含义是hate, rese
0xf2bfc	󲯼	彝文字符的词汇编号是4059。|是通用彝文字符 unicode 0xf2bfc 滇川黔桂彝文
0xf2bfd	󲯽	捧|󳗐󳑏󳁣󳗇󲝏󲷴󲻱󲷾󲤢󲹸󲦛󳚲󳖋
0xf2bfe	󲯾	垫|的英文是垫，中文是垫。
0xf2bff	󲯿	1. 喝; 2. 吸; in Yi script is  (|彝文 unicode:0xf2bff 通用彝文字符集
0xf2c00	󲰀	彝文字符的中文含义是獐（子），英文含义是獐 (子)。|󳍬󳇁󲰗󲧙󲬸󳈼󲪭󲝯󳀢󳉇󳙚󳔵
0xf2c01	󲰁	的英文是偷盗，中文是偷盗。|彝文 unicode:0xf2c01 通用彝文字符集
0xf2c02	󲰂	󲭒󲢰󳏞󳚫󳒙󲤗󲫤󲶅󳌿󳀼󲸑󳋜|正在 in Yi script is  (正在).
0xf2c03	󲰃	󲠠󲯠󳊽󳛎󳛯󳂽󲩧󲭍󳒅󲠺󲹹󳔰󲣍|的意思是（草鞋）（（grass鞋））。
0xf2c04	󲰄	(你, 我, 他) 们 in Yi script is  (|的意思是（你、我、他）们（(你, 我, 他) 们）。
0xf2c05	󲰅	是通用彝文字符 unicode 0xf2c05 滇川黔桂彝文|󳘐󳕄󲨗󲣙󳊮󲣂󲼭󲸌
0xf2c06	󲰆	󲜳󲶮󲤵󲬼󳛅󳀨󳁩󲧪󲥒󳗢󲵯󳌔󳌂󳁺|󳔼󲱌󲶄󲥓󳄡󲩛󲾁󲶙󲪟󲲍󳐒󳆉󲲻
0xf2c07	󲰇	是通用彝文字符 unicode 0xf2c07 滇川黔桂彝文|网用通用彝文写作「」。
0xf2c08	󲰈	的英文是沤，中文是沤。|󲳘󲥐󳂾󳀿󲷀󲝕󳌆󳗃󲼊
0xf2c09	󲰉	的意思是（告状）（（告状））。|（告状）
0xf2c0a	󲰊	盛 (世)|的意思是盛（世）（盛 (世)）。
0xf2c0b	󲰋	彝文 unicode:0xf2c0b 通用彝文字符集|是通用彝文字符 unicode 0xf2c0b 滇川黔桂彝文
0xf2c0c	󲰌	想、欲用通用彝文写作「」。|想, 欲 in Yi script is  (想、欲).
0xf2c0d	󲰍	1. (sky, heaven) place, locati|󳙻󳒹󲰤󲮘󳓮
0xf2c0e	󲰎	字符的词汇编号是4077。|是通用彝文字符 unicode 0xf2c0e 滇川黔桂彝文
0xf2c0f	󲰏	󳜋󳙈󲤶󳆍󲢈󳛇󳄫|彝文 unicode:0xf2c0f 通用彝文字符集
0xf2c10	󲰐	是通用彝文字符 unicode 0xf2c10 滇川黔桂彝文|( (overlapping词缀) （hair, wool发
0xf2c11	󲰑	是通用彝文字符 unicode 0xf2c11 滇川黔桂彝文|󲨀󳍖󳄌󳄴󲾞󲭢󳏼󳋥󲷽󲰴󳚐
0xf2c12	󲰒	的英文是蟒，中文是蟒。|彝文字符的中文含义是蟒，英文含义是蟒。
0xf2c13	󲰓	的意思是排行第四（排行第four）。|是通用彝文字符 unicode 0xf2c13 滇川黔桂彝文
0xf2c14	󲰔	The Yi script for '1、合缝；2、合拢；'|1. 合sew, stitch; 2. 合拢;
0xf2c15	󲰕	烤(fire, one般point, indicate取暖)|彝文 unicode:0xf2c15 通用彝文字符集
0xf2c16	󲰖	󲯻󳗡󳎗󳛾󳄁󳚾󲲘󳁇󳁠󳙦󲞬󲤚󳗚|彝文 unicode:0xf2c16 通用彝文字符集
0xf2c17	󲰗	(竹簾子 (dry in sun, expose萝卜丝用) |是通用彝文字符 unicode 0xf2c17 滇川黔桂彝文
0xf2c18	󲰘	编号4087对应彝文字符。|彝文 unicode:0xf2c18 通用彝文字符集
0xf2c19	󲰙	󲮪󳅎󳖧󲠍󳌶󲪨󳊃󲧶󲴪󲧓󳎪󲨌󲟳|The Yi script for '挑（使动）' is '
0xf2c1a	󲰚	󲸝󲼕󳃐󲬖 can you sing yi songs yes|彝文 unicode:0xf2c1a 通用彝文字符集
0xf2c1b	󲰛	架、台（量词）用通用彝文写作「」。|The Yi script for '架、台（量词）' is
0xf2c1c	󲰜	󳀩󳜚󲰎󳚻󳘨󲣚󳓼󲧚󲯢󲶓󳍤󲦭󲠻󲤲|󳗇󳗙󳕽󳅎󲩓󳐮󲦀󲽫󲣌󲻼󳛋󳉋󲮍
0xf2c1d	󲰝	󳒏󳎨󳆥󳛓󲦴󳔑󳜟󳆳|是通用彝文字符 unicode 0xf2c1d 滇川黔桂彝文
0xf2c1e	󲰞	字符的词汇编号是4093。|是通用彝文字符 unicode 0xf2c1e 滇川黔桂彝文
0xf2c1f	󲰟	彝文字符的中文含义是桩，英文含义是桩。|是通用彝文字符 unicode 0xf2c1f 滇川黔桂彝文
0xf2c20	󲰠	彝文 unicode:0xf2c20 通用彝文字符集|󳌪󳛔 star world weak
0xf2c21	󲰡	(依lean, depend on (瞧得rise, get|The Yi script for '（依靠（瞧得起））' 
0xf2c22	󲰢	是通用彝文字符 unicode 0xf2c22 滇川黔桂彝文|󳏿󳕡󲶁󳙎󲞋󲺿󲸠󲮴󳗆
0xf2c23	󲰣	是通用彝文字符 unicode 0xf2c23 滇川黔桂彝文|的英文是连累, 牵连，中文是连累、牵连。
0xf2c24	󲰤	「（烟）熏」的通用彝文是「」。|彝文 unicode:0xf2c24 通用彝文字符集
0xf2c25	󲰥	彝文 unicode:0xf2c25 通用彝文字符集|的意思是可以（可以）。
0xf2c26	󲰦	编号4101对应彝文字符。|是通用彝文字符 unicode 0xf2c26 滇川黔桂彝文
0xf2c27	󲰧	󳀵󲽕󳗞󳕼󲤙󲝐󲞃󲬻󲞙󲬜󳑨󲰾󲥤|的意思是代（代）。
0xf2c28	󲰨	奇数, single, alone数 in Yi scrip|󲸌󳐴󲿲󳜏
0xf2c29	󲰩	彝文字符的中文含义是钉（动词），英文含义是钉 (动词)。|󲮮󲡿󳗵󳍅󳅣󳂬󳒐󳆉󲭾󳘶󲧦󳁓󲰛
